Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PHG,Koninklijke Philips N.V. NY Registry Shares,$14.00,-0.11,-0.78%,12394872000.00,Netherlands,,292226,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PINS,Pinterest Inc. Class A Common Stock,$24.16,-0.22,-0.902%,16386058520.00,,2019,996375,Technology,Interactive Media
PKI,PerkinElmer Inc. Common Stock,$134.39,-1.78,-1.307%,16975596489.00,United States,,56112,Health Care,Medical Specialities
PLTR,Palantir Technologies Inc. Class A Common Stock,$7.09,-0.30,-4.06%,14748582160.00,,2020,5953624,Technology,Retail: Computer Software & Peripheral Equipment
PM,Philip Morris International Inc Common Stock,$96.71,0.43,0.447%,149920064917.00,United States,,221612,Health Care, Medicinal Chemicals and Botanical Products 
PNC,PNC Financial Services Group Inc. (The) Common Stock,$162.38,1.22,0.757%,65490944579.00,United States,,83249,Finance,Major Banks
PRU,Prudential Financial Inc. Common Stock,$106.33,-1.00,-0.932%,39129440000.00,United States,2001,102209,Finance,Life Insurance
PSX,Phillips 66 Common Stock,$107.69,-1.30,-1.193%,50897763018.00,United States,,344273,Energy,Integrated oil Companies
PUK,Prudential Public Limited Company Common Stock,$22.68,-0.67,-2.869%,31177230467.00,United Kingdom,,88589,Finance,Life Insurance
PWR,Quanta Services Inc. Common Stock,$148.12,-0.54,-0.363%,21166519227.00,United States,,37444,Industrials,Engineering & Construction
PXD,Pioneer Natural Resources Company Common Stock,$238.7138,-11.2262,-4.492%,56718096430.00,United States,,470646,Energy,Oil & Gas Production
QGEN,Qiagen N.V. Common Shares ,$48.54,0.39,0.81%,11052558000.00,Netherlands,,253457,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RBLX,Roblox Corporation Class A Common Stock,$30.27,-1.45,-4.571%,18186703075.00,,2021,2711054,Technology,EDP Services
RE,Everest Re Group Ltd. Common Stock,$323.89,0.40,0.124%,12685162862.00,Bermuda,,17461,Finance,Property-Casualty Insurers
RF,Regions Financial Corporation Common Stock,$22.47,-0.02,-0.089%,20996992767.00,United States,,775314,Finance,Major Banks
RJF,Raymond James Financial Inc. Common Stock,$122.62,1.03,0.847%,26375562000.00,United States,,61948,Finance,Investment Bankers/Brokers/Service
RMD,ResMed Inc. Common Stock,$224.33,-0.07,-0.031%,32860677205.00,United States,,17784,Health Care,Medical/Dental Instruments
ROK,Rockwell Automation Inc. Common Stock,$264.855,0.115,0.043%,30417047878.00,United States,,72338,Industrials,Industrial Machinery/Components
ROP,Roper Technologies Inc. Common Stock,$435.10,2.09,0.483%,46143248695.00,United States,1992,36712,Industrials,Office Equipment/Supplies/Services
RS,Reliance Steel & Aluminum Co. Common Stock (DE),$206.47,0.52,0.252%,12117910742.00,United States,1994,9174,Industrials,Steel/Iron Ore
RTX,Raytheon Technologies Corporation Common Stock,$95.40,0.04,0.042%,140243797935.00,United States,,386788,Industrials,Military/Government/Technical
SAN,Banco Santander S.A. Sponsored ADR (Spain),$2.735,0.055,2.052%,45932688332.00,Spain,,1139413,Finance,Commercial Banks
SAP,SAP  SE ADS,$109.38,0.59,0.542%,127930848000.00,Germany,,133862,Technology,EDP Services
SCHW,Charles Schwab Corporation (The) Common Stock,$79.945,0.135,0.169%,149236479095.00,United States,,430991,Finance,Investment Bankers/Brokers/Service
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,$55.99,-0.95,-1.668%,31451708380.00,United States,2017,1040588,Technology,Computer Software: Prepackaged Software
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$54.11,-1.83,-3.271%,191494601504.00,Netherlands,2022,985005,Energy,Oil & Gas Production
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,$26.81,-0.27,-0.997%,13751593755.00,South Korea,,7811,Finance,Major Banks
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$35.1699,-1.4201,-3.881%,44739252945.00,Canada,2015,2776565,Technology,Computer Software: Prepackaged Software
SLB,Schlumberger N.V. Common Stock,$50.505,-2.935,-5.492%,71615775606.00,France,,2841154,Energy,Oilfield Services/Equipment
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$6.4875,-0.0825,-1.256%,44479066466.00,Japan,,198392,Finance,Commercial Banks
SNAP,Snap Inc. Class A Common Stock,$10.25,-0.27,-2.567%,16534285978.00,United States,2017,3492308,Technology,Internet and Information Services
SNN,Smith & Nephew SNATS Inc. Common Stock,$25.595,-0.135,-0.525%,11142727683.00,United Kingdom,,91699,Health Care,Industrial Specialties
SNOW,Snowflake Inc. Class A Common Stock,$140.855,-5.345,-3.656%,45073600000.00,United States,2020,599612,Technology,Computer Software: Prepackaged Software
SPGI,S&P Global Inc. Common Stock,$341.99,-3.88,-1.122%,111420342000.00,United States,,177828,Finance,Advertising
SQ,Block Inc. Class A Common Stock,$63.335,-2.485,-3.775%,37878832992.00,United States,2015,1463112,Technology,Computer Software: Prepackaged Software
SQM,Sociedad Quimica y Minera S.A. Common Stock,$94.56,4.33,4.799%,27009911124.00,Chile,1993,524083,Industrials,Agricultural Chemicals
SSL,Sasol Ltd. American Depositary Shares,$16.74,-0.45,-2.618%,10535605723.00,South Africa,,102510,Energy,Oil & Gas Production
STE,STERIS plc (Ireland) Ordinary Shares,$175.315,9.305,5.605%,17500461005.00,United States,,203832,Health Care,Industrial Specialties
STM,STMicroelectronics N.V. Common Stock,$37.99,-0.32,-0.835%,34362523520.00,Switzerland,,337149,Technology,Semiconductors
STT,State Street Corporation Common Stock,$76.44,0.85,1.124%,28048904837.00,United States,,251423,Finance,Investment Managers
SYF,Synchrony Financial Common Stock,$35.89,0.00,0.00%,16169931851.00,United States,2014,407764,Finance,Diversified Financial Services
SYK,Stryker Corporation Common Stock,$226.28,2.67,1.194%,85631124334.00,United States,,159857,Health Care,Medical/Dental Instruments
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$14.045,-0.055,-0.39%,43666601239.00,,2018,198544,Health Care,Biotechnology: Pharmaceutical Preparations
TD,Toronto Dominion Bank (The) Common Stock,$66.67,-0.12,-0.18%,120879377000.00,Canada,,191247,Finance,Commercial Banks
TDG,Transdigm Group Incorporated Common Stock,$617.97,-2.64,-0.425%,33601869090.00,United States,2006,10136,Industrials,Military/Government/Technical
TDY,Teledyne Technologies Incorporated Common Stock,$404.64,-2.45,-0.602%,18965919072.00,United States,,21027,Industrials,Industrial Machinery/Components
TEF,Telefonica SA Common Stock,$3.70,0.02,0.543%,21368378950.00,Spain,1988,82819,Telecommunications,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$125.99,-0.40,-0.316%,39967878632.00,Switzerland,,71935,Technology,Electronic Components
TFC,Truist Financial Corporation Common Stock,$46.07,0.41,0.898%,61124122888.00,United States,,385466,Finance,Major Banks
TFX,Teleflex Incorporated Common Stock,$216.81,-0.59,-0.271%,10169784172.00,United States,,22820,Health Care,Medical/Dental Instruments
TLK,PT Telekomunikasi Indonesia Tbk,$25.56,-0.22,-0.853%,25320302537.00,Indonesia,,16213,Telecommunications,Telecommunications Equipment
TMO,Thermo Fisher Scientific Inc Common Stock,$534.11,-1.13,-0.211%,209475568949.00,United States,,188675,Industrials,Biotechnology: Laboratory Analytical Instruments
TPL,Texas Pacific Land Corporation Common Stock,$2601.3829,-102.5071,-3.791%,20042344148.00,United States,,2269,Energy,Oil & Gas Production
TRU,TransUnion Common Stock,$60.315,-0.125,-0.207%,11622700500.00,United States,2015,49276,Finance,Advertising
TRV,The Travelers Companies Inc. Common Stock,$185.85,1.29,0.699%,43553487521.00,United States,,109838,Finance,Property-Casualty Insurers
TS,Tenaris S.A. American Depositary Shares,$32.17,-1.79,-5.271%,18988934911.00,Luxembourg,,408372,Industrials,Steel/Iron Ore
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$80.06,-2.21,-2.686%,415197244560.00,Taiwan,1997,5226982,Technology,Semiconductors
TT,Trane Technologies plc,$177.03,0.79,0.448%,40771300611.00,Ireland,,61906,Industrials,Auto Parts:O.E.M.
TTE,TotalEnergies SE,$57.7464,-1.8336,-3.078%,144984643940.00,France,,340220,Energy,Oil & Gas Production
TXT,Textron Inc. Common Stock,$69.86,-0.21,-0.30%,14584775034.00,United States,,18825,Industrials,Aerospace
TYL,Tyler Technologies Inc. Common Stock,$313.36,-0.09,-0.029%,13048278437.00,United States,,19850,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$33.34,-1.34,-3.864%,13776088000.00,United States,2020,3277804,Technology,Retail: Computer Software & Peripheral Equipment
UBER,Uber Technologies Inc. Common Stock,$28.4601,-0.4999,-1.726%,56761032337.00,,2019,2041702,Technology,EDP Services
UBS,UBS Group AG Registered Ordinary Shares,$18.31,0.00,0.00%,58268894398.00,Switzerland,2014,240075,Finance,Major Banks
UI,Ubiquiti Inc. Common Stock,$292.38,-5.25,-1.764%,17668175760.00,United States,,4787,Technology,Radio And Television Broadcasting And Communications Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$7.395,-0.035,-0.471%,18460418741.00,Taiwan,,585744,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),$526.81,-3.19,-0.602%,492224435147.00,United States,,390774,Health Care,Medical Specialities
UNP,Union Pacific Corporation Common Stock,$211.43,0.85,0.404%,129987333144.00,United States,,340412,Industrials,Railroads
USB,U.S. Bancorp Common Stock,$43.76,0.38,0.876%,65019635747.00,United States,,636899,Finance,Major Banks
VEEV,Veeva Systems Inc. Class A Common Stock,$182.43,-1.65,-0.896%,28327988356.00,,2013,64597,Health Care,Managed Health Care
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$7.39,0.17,2.355%,12318421528.00,Brazil,2020,863818,Telecommunications,Telecommunications Equipment
VLO,Valero Energy Corporation Common Stock,$135.79,-1.83,-1.33%,52350205920.00,United States,,535039,Energy,Integrated oil Companies
VMW,Vmware Inc. Common stock Class A,$116.63,0.07,0.06%,49337388722.00,United States,2007,113547,Technology,Computer Software: Prepackaged Software
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,$98.955,-0.205,-0.207%,17996734482.00,United States,,36529,Industrials,Railroads
WAT,Waters Corporation Common Stock,$320.32,-0.84,-0.262%,19029434424.00,United States,1995,21932,Health Care,Medical Specialities
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,$24.32,-0.75,-2.992%,46177594431.00,,2022,53823,Energy,Oil & Gas Production
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,$26.83,-0.83,-3.001%,10331427859.00,United States,2012,38377,Energy,Oilfield Services/Equipment
WFC,Wells Fargo & Company Common Stock,$46.83,0.33,0.71%,178445288753.00,United States,,1247392,Finance,Major Banks
WIT,Wipro Limited Common Stock,$4.815,-0.095,-1.935%,26348128768.00,India,,283631,Technology,EDP Services
WLK,Westlake Corporation Common Stock,$102.355,-2.075,-1.987%,13054110946.00,United States,2004,34197,Industrials,Major Chemicals
WOLF,Wolfspeed Inc. Common Stock,$89.035,-2.005,-2.202%,11059329029.00,United States,,169211,Technology,Semiconductors
WRB,W.R. Berkley Corporation Common Stock,$74.47,1.14,1.555%,19770006731.00,United States,,126401,Finance,Property-Casualty Insurers
WST,West Pharmaceutical Services Inc. Common Stock,$224.265,-0.735,-0.327%,16603007830.00,United States,,86124,Health Care,Medical/Dental Instruments
XOM,Exxon Mobil Corporation Common Stock,$108.90,-3.18,-2.837%,448450200000.00,United States,,3617236,Energy,Oil & Gas Production
XYL,Xylem Inc. Common Stock New,$112.55,-0.08,-0.071%,20283933427.00,United States,2011,47506,Industrials,Fluid Controls
ZBH,Zimmer Biomet Holdings Inc. Common Stock,$114.70,0.61,0.535%,24070069362.00,United States,,62356,Health Care,Industrial Specialties
ZTS,Zoetis Inc. Class A Common Stock,$144.44,-1.20,-0.824%,67319438958.00,United States,2013,148983,Health Care,Biotechnology: Pharmaceutical Preparations
